Date,Æò±Õ±â¿Â(¡ÆC),Æò±ÕÇöÁö±â¾Ð(hPa),Æò±Õ¼öÁõ±â¾Ð(hPa),¿ùÇÕ°­¼ö·®(00~24h¸¸)(mm),Æò±ÕÇ³¼Ó(m/s),Æò±Õ¿î·®,Æò±ÕÁö¸é¿Âµµ(¡ÆC)
Feb-03,2.7,1011.7,4.7,39.6,2.2,4.6,2
Mar-03,6.5,1010.5,5.6,26.8,2.3,5.4,7.2
Apr-03,13.2,1004.7,8.8,139.6,2.5,5.4,14
May-03,19.6,1002.4,12.8,106,1.8,4.4,22.3
Jun-03,21.5,996.3,17.5,156,2,6.7,23.7
Jul-03,23.8,997,22.2,469.8,1.8,7.6,24.6
Aug-03,24.1,998.9,23.2,684.2,1.4,7.6,24.7
Sep-03,20.9,1003.8,18.1,258.2,1.1,6.3,21.8
Oct-03,13.9,1008.1,10,41.5,2,3.4,13.9
Nov-03,9.5,1012.4,8.3,69.3,2,5.4,7.9
Dec-03,0.7,1013.8,4,6.9,2.4,3.1,-0.9
Jan-04,-1.5,1013.3,3.4,19.8,2.1,3.3,-1.4
Feb-04,2.3,1009.1,4.2,54.6,2.9,3.5,1.4
Mar-04,6.3,1009.4,4.8,27.6,2.7,3.9,7.4
Apr-04,13.1,1003.5,7.7,74.1,2.7,3.9,14.7
May-04,17.6,999.4,13.5,168.5,2.6,5.8,19.2
Jun-04,23.2,999.8,18,138.1,2.1,6.4,26.1
Jul-04,24.8,997.2,25.7,510.7,2.3,7.8,26.1
Aug-04,26.1,998.1,23.9,193.3,2.4,6,28.6
Sep-04,21.7,1004.8,17.8,198.7,2.2,5.5,23.3
Oct-04,15.2,1010.7,9.6,6.5,2,2.4,17.9
Nov-04,9.1,1012.4,8,80,2,3.7,8.3
Dec-04,1.9,1014.4,4.3,27.2,2.2,3,1.3
Jan-05,-2.5,1012.2,2.7,4.5,2.4,2.7,-2.2
Feb-05,-1.9,1013.5,2.7,17.2,2.8,3.5,-0.2
Mar-05,4.1,1008.9,4.7,12.5,2.9,3.8,5.7
Apr-05,13.2,1003.7,8.3,94.7,3,4.3,14.7
May-05,17.7,1000.4,10.8,85.8,2.4,4.1,21.5
Jun-05,22.7,995.9,19,168.5,2.4,6.3,26.1
Jul-05,25.3,996.4,24.8,269.4,2.2,7.2,27
Aug-05,25.1,998.8,24.4,285,2.6,6.9,26.2
Sep-05,21.8,1005.2,18.6,313.3,2.3,6.4,23
Oct-05,14.7,1009.8,11,52.6,1.7,3.4,15.4
Nov-05,8.6,1010.1,6.7,44.6,2.2,2.9,7.8
Dec-05,-3.9,1014.1,2.4,10.3,2.5,2.2,-3.8
Jan-06,-0.2,1014.4,3.6,34.3,2.1,4,-1.5
Feb-06,0.1,1015,3.5,15.7,2.6,4.3,0.2
Mar-06,5.2,1006.3,4.5,14,2.9,4.2,6.1
Apr-06,11.6,1000.7,7.5,51.8,3,5.9,13
May-06,18.4,1002.1,12,156.2,2.5,5.2,21.2
Jun-06,21.8,997.2,17.6,168.5,2.2,6.1,24.3
Jul-06,23.1,996.3,23.4,1014,2.3,8.7,23.9
Aug-06,27,998.7,24.8,121.2,2.1,5.4,29.1
Sep-06,21.1,1004.8,14.5,11.1,2.1,4.7,23.5
Oct-06,17.9,1008.7,12.9,30.2,2,3.2,19.1
Nov-06,8.4,1009.5,6.7,47.6,2.4,4.3,8.1
Dec-06,1.4,1015.8,4.2,17.3,2.1,3.7,1.5
Jan-07,0.4,1015.6,3.6,10.8,2,3.5,0.4
Feb-07,4,1010.6,4.4,12.6,2.3,3.3,4
Mar-07,6.1,1007.5,5.9,123.5,2.7,5.2,6.9
Apr-07,11.4,1005.6,7.1,41.1,2.8,4.8,13.4
May-07,18.1,997.8,12.6,137.6,2.6,5.5,19.9
Jun-07,23.2,998.5,17.1,54.5,2.3,6.1,26
Jul-07,24.2,994.7,22.6,274.1,2.4,7.6,25.2
Aug-07,26.5,998.7,26.1,237.6,2.6,6.9,26.6
Sep-07,21.5,1002.5,19.2,241.9,2.5,7.3,21.8
Oct-07,15.1,1009.4,11.1,39.5,2.1,4.9,15.2
Nov-07,6.7,1013.2,5.6,26.4,2.2,3.1,6
Dec-07,1.8,1011.8,4.3,12.7,2.4,4,0.7
Jan-08,-1.7,1015.5,2.8,17.7,2.3,4.5,-1.8
Feb-08,-1.2,1014.2,2.6,15,2.7,2.3,0.1
Mar-08,7.3,1007.9,5.6,53.9,2.6,4.2,8
Apr-08,14.1,1005,7.8,38.5,2.7,4.6,15.2
May-08,17.7,1000.1,11.6,97.7,2.7,4.8,20.5
Jun-08,21.5,999.2,16.3,165,2.7,6.5,23.3
Jul-08,25.1,997.3,24.6,530.8,2.4,8.2,25.7
Aug-08,25.3,997.8,22,251.2,2.5,5.4,26.4
Sep-08,22,1003.4,16.9,99.2,1.9,5.2,22.5
Oct-08,16.1,1008.5,11.4,41.8,2,3.9,16.4
Nov-08,7.6,1011.5,6.3,19.6,2.2,4.3,6.7
Dec-08,1.1,1012.7,4.1,25.9,2.5,4.3,-0.4
Jan-09,-2,1014.5,2.8,5.7,2.5,2.5,-3.3
Feb-09,2.9,1009.8,4.6,36.9,2.5,5.3,2.5
Mar-09,6,1008.7,5.1,63.9,3.1,4.4,6.7
Apr-09,12.7,1004.9,7.5,66.5,2.6,4.1,14.4
May-09,19.1,1002,12.2,109,2.5,4.3,21.1
Jun-09,22.4,995.1,17.6,132,2.5,5.4,24.8
Jul-09,24.3,995.3,22.6,659.4,2.3,6.7,25.1
Aug-09,25.7,998.9,22.5,285.3,2.2,5.6,26.7
Sep-09,21.8,1003.8,16.3,64.5,1.8,4,23.1
Oct-09,16,1006.5,11,66.9,2.1,2.5,16.2
Nov-09,6.9,1013,7.2,52.4,2.5,5.1,6.6
Dec-09,-1,1012,3.9,21.5,2.5,3.8,-0.8
Jan-10,-4.5,1013.6,3.1,29.3,2.3,3.7,-1.2
Feb-10,1.4,1010.7,4.5,55.3,2.4,4.8,1.4
Mar-10,4.3,1009.6,4.9,82.5,2.9,6.2,5
Apr-10,9.5,1007.4,6.5,62.8,2.9,5.2,10.8
May-10,17.2,1000.6,11.9,124,2.6,5.4,18.7
Jun-10,23.4,999.5,17.2,127.6,2.1,5,26.1
Jul-10,25.8,997.7,24.1,239.2,2.5,7.4,27.6
Aug-10,26.5,1000.3,26.5,598.7,2.4,7.6,28.3
Sep-10,21.8,1003.4,19.2,671.5,2.3,5.9,23.7
Oct-10,14.5,1008.9,10.5,25.6,2.2,3.7,15.9
Nov-10,6.5,1010.7,5.7,10.9,2.8,3.4,6.1
Dec-10,-1.3,1007.1,3.6,16.1,3,4.1,-0.9
Jan-11,-7.2,1016.1,2,8.9,2.8,2.7,-4.7
Feb-11,1.2,1011.3,3.7,29.1,2.6,4,1.7
Mar-11,3.6,1010.7,4.1,14.6,3.4,3.3,6.4
Apr-11,10.7,1003.8,6.8,110.1,3.2,4.7,13.6
May-11,17.9,1000.8,11.1,53.4,2.8,5.6,21
Jun-11,22,996.7,17,404.5,2.9,6.1,25.8
Jul-11,24.6,996,24,1131,2.4,8,26.5
Aug-11,25.8,998.6,24.3,166.8,2.5,7.5,27.5
Sep-11,21.8,1002.9,15.1,25.6,2.4,4.5,25.1
Oct-11,14.2,1010.1,8.8,32,2.1,3.8,15.3
Nov-11,10.7,1012.3,8.4,56.2,2.7,6,10.2
Dec-11,-0.9,1016.7,3.1,7.1,2.6,3.9,-0.5
Jan-12,-2.8,1015.1,2.6,6.7,2.5,3.6,-2.3
Feb-12,-2,1013,2.4,0.8,2.9,3.4,-0.7
Mar-12,5.1,1008.9,4.6,47.4,3.5,5.2,6.2
Apr-12,12.3,1002.8,7.7,157,3.4,4.6,14.5
May-12,19.7,1001,10.6,8.2,2.7,4.3,24
Jun-12,24.1,997.3,15.7,91.9,2.8,5.4,29.7
Jul-12,25.4,996,23.6,448.9,2.7,7.4,26.9
Aug-12,27.1,999.1,23.8,464.9,3,6.8,28.3
Sep-12,21,1003.6,15.9,212,2.3,5.6,22.1
Oct-12,15.3,1008,10.1,99.3,2.3,3.6,16.2
Nov-12,5.5,1008.7,5.3,67.8,2.7,4.5,5.3
Dec-12,-4.1,1013.6,2.8,41.4,2.7,3.5,-1.9
Jan-13,-3.4,1015.3,3,22.1,2.7,4.3,-2
Feb-13,-1.2,1014.2,3.2,74.1,2.9,4.7,0.4
Mar-13,5.1,1007.3,4.3,27.3,3,3.3,7
Apr-13,10,1002.6,6.5,71.7,3.4,5,11.5
May-13,18.2,1001.5,11.6,132,2.9,4.7,20.2
Jun-13,24.4,998,17.8,28.3,2.2,5.4,28.2
Jul-13,25.5,995.3,25.6,676.2,3.4,8.5,26.4
Aug-13,27.7,996.8,25.4,148.6,2.8,6.2,29.5
Sep-13,21.8,1005,16.2,138.5,2.2,5.5,24.1
Oct-13,15.8,1010,10.6,13.5,2.5,2.9,16.4
Nov-13,6.2,1009.6,5.9,46.8,2.7,3.9,5.8
Dec-13,-0.2,1011.3,3.8,24.7,2.4,4,0.4
Jan-14,-0.7,1014.3,3.1,13,2.4,3.4,-0.9
Feb-14,1.9,1014.4,3.8,16.2,2.7,4,2.1
Mar-14,7.9,1009.1,6.7,7.2,3,3.9,9.4
Apr-14,14,1006.8,9.2,31,2.8,4.7,17.9
May-14,18.9,1000.5,12.6,63,3.2,3.2,23.3
Jun-14,23.1,996.4,20,98.1,2.6,6.7,25.9
Jul-14,26.1,997.2,24.6,207.9,2.8,6.8,29.2
Aug-14,25.2,998.3,24.2,172.8,2.4,7.1,26.6
Sep-14,22.1,1003.3,17.8,88.1,2.1,4.9,24.9
Oct-14,15.6,1009.5,11.1,52.2,2.4,3.3,16.8
Nov-14,9,1011,7.1,41.5,2.5,4.3,8.5
Dec-14,-2.9,1013.5,2.9,17.9,2.8,3.4,-1.3
Jan-15,-0.9,1013.8,3.4,11.3,2.6,3.9,-0.4
Feb-15,1,1011.4,4.1,22.7,2.9,4.5,2
Mar-15,6.3,1010.7,4.4,9.6,3.1,2.8,7.8
Apr-15,13.3,1005.5,8,80.5,3.1,5,14.9
May-15,18.9,999.4,11,28.9,3,4.1,23.8
Jun-15,23.6,996.9,16.8,99,2.5,5.6,27.6
Jul-15,25.8,996.8,23.4,226,2.8,7,27.9
Aug-15,26.3,998.5,23.5,72.9,2.4,5.6,28
Sep-15,22.4,1004.1,14.8,26,2.3,3.8,25.1
Oct-15,15.5,1008.2,10.8,81.5,2.3,2.8,16.3
Nov-15,8.9,1012.9,8.6,104.6,2.7,6.6,9.5
Dec-15,1.6,1014.8,4.3,29.1,2.3,4.1,2.2
Jan-16,-3.2,1014.5,2.8,1,2.5,4,-1.4
Feb-16,0.2,1013.3,3.5,47.6,2.8,3.7,1.1
Mar-16,7,1010.9,5.2,40.5,2.4,3.6,9.1
Apr-16,14.1,1003.2,8.3,76.8,2.4,4.8,17
May-16,19.6,1001.3,12,160.5,2.4,4.6,23.2
Jun-16,23.6,997.6,17.9,54.4,2.1,5.3,28.2
Jul-16,26.2,997.8,24.4,358.2,2.1,7.2,28.3
Aug-16,28,996,24,67.1,2.1,4.6,31.9
Sep-16,23.1,1003.3,18,33,2,5.8,24.9
Oct-16,16.1,1009,11.7,74.8,2.1,5.3,17
Nov-16,6.8,1012.6,6.2,16.7,2.2,4.7,7.2
Dec-16,1.2,1014.2,4.2,61.1,2.2,4.7,1.6
Jan-17,-1.8,1014.7,3.2,14.9,2.3,3.5,-0.7
Feb-17,-0.2,1012.6,3.3,11.1,2.4,2.8,1
Mar-17,6.3,1009,4.5,7.9,2.4,3.9,8.1
Apr-17,13.9,1002.6,8,61.6,2.6,4.4,16.9
May-17,19.5,1002,11.4,16.1,2.4,3.9,25
Jun-17,23.3,998.4,15.7,66.6,2.4,4.7,28.6
Jul-17,26.9,997.5,26.9,621,2,7.9,28.3
Aug-17,25.9,997.7,23.7,297,2.3,7,27.7
Sep-17,22.1,1003.1,16,35,2,4.2,24.2
Oct-17,16.4,1010.7,10.7,26.5,1.9,4.5,16.8
Nov-17,5.6,1012.4,5.4,40.7,2.1,4.2,5.4
Dec-17,-1.9,1015.1,3.3,34.8,1.8,3.9,-1.5
