"","쌀","돼지고기","쇠고기국산","우유","라면","스낵과자","달걀","닭고기","두부","마른멸치","고등어","파","참기름","맛김","콩나물","탄산음료","밀가루","담배국산","맥주","소주","세탁료","전세","월세","전기료","도시가스","상수도료","세탁세제","치과진료비","감기약","휘발유","시내버스료","도시철도료","휴대전화료","영화관람료","삼겹살외식","설렁탕","미용료","목욕료","외래진료비","취업자증감","농림어업","제조업","건설업","서비스업","실업자.x","실업률.x","청년실업자","청년실업률","총지수","식료품","비주류음료","주류","담배","의류","신발","주택임차료","주거시설유지보수","수도및주거관련서비스","전기가스및기타연료","가구가사비품및카페트","가정용섬유제품","가정용기기","주방용품및가정용품","가정정원용공구및장비","일상생활용품및가사서비스","의료용품및장비","외래환자서비스","병원서비스","운송장비","개인운송장비운영","운송서비스","우편서비스","전화및팩스장비","전화및팩스서비스","음향영상사진및정보처리장비","기타오락및문화용주요내구재","기타오락용품조경용품및애완동물","오락및문화서비스","신문서적및문방구","단체여행","유치원및초등교육","중등교육","고등교육","기타교육","음식서비스","숙박서비스","미용용품및미용서비스","기타개인용품","기타서비스","소비자물가","농축수산물","공업제품","집세","공공서비스","개인서비스","근원물가","생활물가","생산가능인구","경제활동인구","취업자","고용률","경제활동참가율"
"쌀",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58644716661416e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82075252044933e-10,0,0.00110812777546121,2.06881170417006e-07,6.673603891727e-10,0.000758469659347227,0.0809627468773999,3.37778693904056e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98026211975135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27460503157795e-10,3.20208304316338e-11,0,0,0,0,0,0,0.0591563728179465,0,1.43329792479108e-12,0,0,0,0,0,0,1.5076730375263e-07,0,0,0,0
"돼지고기",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68442577314276e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25801624462474e-11,0,0.00185461458393688,4.20340426243726e-06,4.21884749357559e-14,0.0129407430220159,0.119770902203841,4.49418280368263e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805541835345551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5527136788005e-15,1.41735596193016e-06,0,0,0,0,0,0,0.730567766523431,0,7.34020755288611e-08,0,0,0,0,0,0,2.06159708726616e-06,0,0,0,0
"쇠고기국산",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036867442705415,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24280493288376e-07,0,0.000116769190156241,0.000254111819469216,0,0.369123222477032,0.961761305477324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133516967495849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17821349635506e-11,1.69992838627842e-06,0,0,0,0,0,0,0.949250956961555,0,3.14782670152169e-07,0,7.73185293567735e-10,0,0,0,0,1.28062318527356e-07,0,0,0,1.77635683940025e-15
"우유",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85433745084163e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97681887420731e-12,0,0.00372124425976361,5.60253545511813e-06,1.90070181815827e-13,0.00597375776169695,0.0603752661739758,1.15685239165941e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.821449876767021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66133814775094e-16,1.46342983731174e-06,0,0,0,0,0,0,0.91050373763406,0,2.2463739757228e-09,0,0,0,0,0,0,8.03509596303265e-06,0,0,0,0
"라면",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47014558702108e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17443857259059e-14,0,0.0206668349780643,9.4512372466049e-06,2.0558221791589e-11,0.00118045627048069,0.00931718415117899,2.44214426459166e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356053892705152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.56690446504204e-05,0,0,0,0,0,0,0.386027407567784,0,1.1814040190572e-08,6.66133814775094e-16,0,0,0,0,0,0.000160834818943467,0,0,0,0
"스낵과자",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1945327545796e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,9.94115900709858e-12,0,0.00201581244579918,7.79363262259913e-06,1.47881706880071e-13,0.0063047601035624,0.0760537388719622,6.62137011886443e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.980388947085524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22044604925031e-15,6.60455453438402e-07,0,0,0,0,0,0,0.974329516459111,0,3.24463744760806e-09,0,0,0,0,0,0,2.94046601334585e-06,0,0,0,0
"달걀",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70384118603329e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97242222554905e-12,0,0.00293298496979522,6.05566218325748e-06,1.11022302462516e-13,0.0103123748515386,0.0668511976025725,2.04636307898909e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.872583870756879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72476854787674e-06,0,0,0,0,0,0,0.557602403967323,0,7.27977005343661e-08,0,0,0,0,0,0,1.05177567135684e-05,0,0,0,0
"닭고기",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0991207943789e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22044604925031e-16,0,0.257706606162324,1.69319263041423e-05,1.39318290237611e-09,0.000645435898569691,0.000446623042253957,8.65603824173888e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294493536288551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00373336935369872,0,0,0,0,0,0,0.0415446002357458,0,3.02040178690177e-06,4.46025438805009e-11,0,0,0,0,0,0.00764889263832691,0,0,0,0
"두부",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84762288310847e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63855595758378e-11,0,0.000948731942531644,1.49548956573931e-06,4.14779321999958e-13,0.00457673853132889,0.077162291398992,7.44737604918555e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.956761305394407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31006316905768e-14,4.34798426152128e-08,0,0,0,0,0,0,0.693448705085338,0,2.39852249173111e-09,0,0,0,0,0,0,7.91343200301498e-07,0,0,0,0
"마른멸치",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79312986260084e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,9.34807786734382e-14,0,0.00695577875559961,2.70660692169855e-06,1.29785071578681e-11,0.00129669488626938,0.0123174975372766,1.23438592680714e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383929030737912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17747768522136e-05,0,0,0,0,0,0,0.561902005565169,0,1.21803407360233e-08,0,0,0,0,0,0,7.56126300947013e-05,0,0,0,0
"고등어",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,5.32907051820075e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585676992582465,2.87781145802413e-06,1.29394455372633e-06,0.000128079593810781,8.26255461228165e-06,4.90056501076808e-05,0,0,0,0,4.21884749357559e-15,0,0,0,0,0,0,0,0,0.000287847098139338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275002748417275,0,0,0,0,0,0,0.00893352465726949,2.22044604925031e-15,0.000396196860789733,3.41242389900742e-07,0,0,0,7.61612994892857e-14,0,0.0874202149648693,0,0,0,0
"파",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62749151511844e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79288650171384e-10,0,0.00559521359392212,0.00739946013292081,1.00985886319904e-11,0.0544098688812806,0.0296432191417435,2.78792411378959e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301930643757584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000877248943019104,0,0,0,0,0,0,0.167648718025494,0,0.0053410419540556,1.51878509768721e-13,0,0,0,0,0,0.000239582294840002,0,0,0,0
"참기름",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27888613430127e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01501095995627e-14,0,0.0669825501398158,1.6912988551443e-05,7.93409782318122e-12,0.00303936368182312,0.00886254810479414,2.78983947055167e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251749592197257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000180049771902446,0,0,0,0,0,0,0.252124198409251,0,2.25040259316245e-07,1.02140518265514e-14,0,0,0,0,0,0.00035168524629503,0,0,0,0
"맛김",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,6.63019095403783e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04601216577294e-10,0,0.000470733616435126,8.82659458190105e-06,1.68753899743024e-14,0.012360746199044,0.155161497443814,4.88498130835069e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700668023248076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95079541199084e-14,8.15299445733331e-08,0,0,0,0,0,0,0.775350074130944,0,5.42039835238484e-09,0,0,0,0,0,0,3.12229854193546e-07,0,0,0,0
"콩나물",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.000293814781755053,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47483808183347e-09,0,1.56290487354216e-05,1.99936306621851e-06,2.22044604925031e-16,0.0445440853640333,0.550648179747212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214278534520373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43245415529236e-10,1.01516128836465e-10,0,0,0,0,0,0,0.217183932583729,0,1.42535316882686e-09,0,0,0,0,0,0,1.19421317279489e-09,0,0,0,0
"탄산음료",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0.000144776278867997,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57120022442814e-09,0,6.33482760095117e-05,9.05879399804022e-06,0,0.0449229171025309,0.452141569826594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297335265399506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49502632496024e-11,3.13842685173427e-09,0,0,0,0,0,0,0.395436309603587,0,2.0282888701928e-09,0,0,0,0,0,0,1.22699708171581e-08,0,0,0,0
"밀가루",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1.84297022087776e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599591529552366,0.000149067386616686,1.99028442171567e-07,2.38845038242896e-05,3.24189624016924e-05,3.32695365212743e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0137082669580422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180481132407007,0,0,0,0,0,0,0.0151734938096904,0,1.8531498824359e-07,2.81576095773062e-09,0,0,0,3.99680288865056e-15,0,0.0317831861742039,0,0,0,0
"담배국산",0,0,0,0,0,0,0,0,0,0,5.32907051820075e-15,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0.295607870150665,0,0,1.67857283628337e-10,0,0,0,0,0,0,0,0,0,0,0.00016133813338115,3.33066907387547e-15,1.39793876252625e-07,0.000587117115174562,0,0.942945562561341,0.0939764770306579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000417348587808064,0,0,0,0,0,0,0,1.19904086659517e-13,0,0,0,0,0,0,0,0,0,0,1.29022498494002e-05,7.96245291923015e-11,0,0,0,0,0,0,0.0681169857464323,0,2.83973125014825e-08,0,1.64847981931615e-07,0,0,0,0,2.23510099317537e-12,4.44089209850063e-16,0,8.43769498715119e-15,4.20770862596953e-09
"맥주",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.0032488975849323,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6680940878876e-07,0,2.65941093680055e-06,2.57471481834859e-05,0,0.148442336935033,0.999770442959224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529667078211116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29139479507512e-09,1.50297552181655e-11,0,0,0,0,0,0,0.129566539809293,0,1.56302402132269e-08,0,3.99680288865056e-15,0,0,0,0,2.07909245375504e-11,0,0,0,4.44089209850063e-16
"소주",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.00011702750786835,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53687862436414e-09,0,0.000695138325529143,7.14419156051527e-05,0,0.0693840208166616,0.368169002989213,1.33226762955019e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410848777815268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09894340691608e-13,1.14968705333673e-06,0,0,0,0,0,0,0.954740163463627,0,3.78708497894564e-08,0,1.47437617670221e-13,0,0,0,0,4.6579556167714e-07,0,0,0,0
"세탁료",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1.61751279037503e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86357612569554e-14,0,0.0212915417835862,6.02277157213393e-06,4.40083525177215e-11,0.00081693637264979,0.00679523506898683,4.60523175149774e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295342302219474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5117219939762e-05,0,0,0,0,0,0,0.425427746481059,0,1.65136575525082e-08,8.88178419700125e-16,0,0,0,0,0,0.00016757732970607,0,0,0,0
"전세",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.00145981925703298,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14132416640223e-08,0,8.51348622843418e-06,8.9109407284127e-06,0,0.0918559620916499,0.804363359823508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105354698316087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55557180656774e-10,1.53551837911436e-10,0,0,0,0,0,0,0.200599150252487,0,1.43060585600097e-09,0,3.99680288865056e-15,0,0,0,0,4.6246073637235e-10,0,0,0,0
"월세",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,3.88960928923154e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2118478160138e-09,0,7.69671538354277e-05,4.53287350721254e-06,2.66453525910038e-15,0.0218535380554448,0.318928825742813,1.55431223447522e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407166824488029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57180992852591e-12,7.30707494511762e-10,0,0,0,0,0,0,0.308085304908896,0,1.91484672562581e-09,0,0,0,0,0,0,7.89335174999906e-09,0,0,0,0
"전기료",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,6.97149747308501e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33927366974262e-08,0,0.000446564344946054,1.65467897828009e-06,2.74245071096857e-11,0.00665280222515152,0.22094581996678,9.03721542044877e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874007919756728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65105007233058e-09,3.53752582782363e-11,0,0,0,0,0,0,0.021708415343602,0,4.29878355134861e-13,0,0,0,0,0,0,1.80258018733781e-07,0,0,0,0
"도시가스",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2.56683563293336e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0915304290238457,4.27443414885431e-07,1.09222970223755e-07,1.59868121922813e-05,0.000172553885499305,4.00837147918054e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223844389357699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134289400798515,0,0,0,0,0,0,0.425264105213664,0,1.11926934387441e-09,3.80895315288399e-12,0,0,0,0,0,0.00390192358470554,0,0,0,0
"상수도료",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.02468462973115e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13593578987548e-11,0,0.000818678508966997,1.44517188260807e-06,1.800781745942e-13,0.00533882944258735,0.099439162552482,2.73780997872564e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.956487107569183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6399329650958e-14,7.99068136103642e-08,0,0,0,0,0,0,0.666988204535469,0,1.22549970171804e-10,0,0,0,0,0,0,1.54012817032978e-06,0,0,0,0
"세탁세제",8.58644716661416e-07,3.68442577314276e-06,0.0036867442705415,2.85433745084163e-07,4.47014558702108e-09,8.1945327545796e-07,5.70384118603329e-07,1.0991207943789e-13,4.84762288310847e-07,9.79312986260084e-09,0,9.62749151511844e-08,4.27888613430127e-10,6.63019095403783e-06,0.000293814781755053,0.000144776278867997,1.84297022087776e-14,0.295607870150665,0.0032488975849323,0.00011702750786835,1.61751279037503e-09,0.00145981925703298,3.88960928923154e-05,6.97149747308501e-06,2.56683563293336e-13,2.02468462973115e-06,NA,2.39563924253616e-12,1.45809988683077e-05,0,0.000112235107082803,0.000162306318491678,7.51279281008266e-08,0.000400403464030585,6.52817819513096e-06,5.72912748584287e-05,8.01200213056408e-05,1.87940281783927e-05,0.0214074443356564,0.000379896008694036,0,8.44120685636884e-05,1.23920468908523e-06,0.0439915938086954,0.273988899910101,1.04428021785452e-10,0,0.0256195903370677,1.42612880971171e-06,1.46515156718152e-06,4.77801573861569e-07,7.38100061745683e-05,0.27545808029754,8.7146984440567e-05,2.36898061993784e-05,0.000631253481386596,2.53166399177829e-06,0.000349366650584493,3.38262751142793e-12,4.57741112347421e-07,1.5912022419684e-06,0,1.22517738168071e-05,5.25582122445911e-06,6.664375895582e-08,1.35312982336711e-05,2.89591033375558e-08,1.07196843490698e-06,1.54808017516217e-08,0,2.34438870641007e-05,0.000450761474877437,3.44790862527589e-12,1.05496121616255e-07,5.87159210141408e-10,1.0000555570322e-06,5.69393382832128e-05,3.50835968461194e-05,2.16993283645994e-05,6.42407993467486e-09,0,0.000664166231246099,1.11022302462516e-15,1.24408089119399e-05,6.78730218850454e-06,0.000291690321078786,1.50184259120056e-05,2.92795574474702e-06,1.96287430753728e-13,0.215646527301979,0.464600767398252,0.155916353676453,1.06581410364015e-14,7.67386154620908e-12,9.16892578084472e-07,0.423973099795064,0.00234576686169241,2.73632990024364e-05,0,1.77635683940025e-14,0,0
"치과진료비",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39563924253616e-12,NA,0,0,0,0,0,0,0,0,0,0,0,0,8.88178419700125e-16,0,0.0804159992478453,4.30110574931586e-05,3.06227421198457e-09,0.000191926585441315,0.000498830973698627,6.70962703175348e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731346117301488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000716008489945574,0,0,0,0,0,0,0.0918699892167805,0,1.60730863818515e-06,2.58504329053721e-12,0,0,0,0,0,0.00157810641079625,0,0,0,0
"감기약",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45809988683077e-05,0,NA,0,0,0,0,0,0,0,0,0,0,0,3.00049984858219e-10,0,0.000766190905699293,3.22087826805095e-05,3.10862446895044e-15,0.0224044830375196,0.201002985663894,1.73194791841524e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593493524422756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77315972805081e-14,3.07262280063725e-07,0,0,0,0,0,0,0.935143559788177,0,1.42058698138214e-08,0,0,0,0,0,0,3.84042004863971e-07,0,0,0,0
"휘발유",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67857283628337e-10,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,4.44089209850063e-16,0,0,0,0.874532046360485,3.86372879690455e-07,0.00400876204265055,1.48641765562729e-09,1.31523236746034e-10,0.017038852305939,0,0,0,0,1.20675247572422e-10,0,0,0,0,0,0,0,0,4.50560475151462e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0937299082219414,0,0,0,0,0,0,0.00463901715630533,1.53144164016794e-12,2.13122715031488e-06,7.87969799103116e-05,0,0,0,3.91235932539757e-11,0,0.550259684887421,0,0,0,0
"시내버스료",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112235107082803,0,0,0,NA,0,0,0,0,0,0,0,0,0,7.0657302231325e-10,0,0.000304254350441457,8.54864927202215e-06,6.66133814775094e-16,0.0316438082561505,0.333408724362778,1.77635683940025e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419674600929987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48889797660468e-12,9.46666338652591e-08,0,0,0,0,0,0,0.675038811416765,0,7.71769981255943e-10,0,8.88178419700125e-15,0,0,0,0,2.30893877350979e-07,0,0,0,0
"도시철도료",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000162306318491678,0,0,0,0,NA,0,0,0,0,0,0,0,0,6.50457465667387e-10,0,0.000296840920866348,5.83198334758173e-06,4.44089209850063e-16,0.0368532625612388,0.366046254663044,1.33226762955019e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405575581271292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14202006027153e-12,1.17148925227184e-07,0,0,0,0,0,0,0.675255220798311,0,4.75345984796149e-10,0,5.46229728115577e-14,0,0,0,0,3.15919197690917e-07,0,0,0,0
